name,imdb_rank,imdb_id,imdb_url
Robert De Niro,1,nm0000134,https://www.imdb.com/name/nm0000134/
Jack Nicholson,2,nm0000197,https://www.imdb.com/name/nm0000197/
Marlon Brando,3,nm0000008,https://www.imdb.com/name/nm0000008/
Denzel Washington,4,nm0000243,https://www.imdb.com/name/nm0000243/
Meryl Streep,5,nm0000658,https://www.imdb.com/name/nm0000658/
Katharine Hepburn,6,nm0000031,https://www.imdb.com/name/nm0000031/
Daniel Day-Lewis,7,nm0000358,https://www.imdb.com/name/nm0000358/
Sidney Poitier,8,nm0001627,https://www.imdb.com/name/nm0001627/
Humphrey Bogart,9,nm0000007,https://www.imdb.com/name/nm0000007/
Clark Gable,10,nm0000022,https://www.imdb.com/name/nm0000022/
Ingrid Bergman,11,nm0000006,https://www.imdb.com/name/nm0000006/
Leonardo DiCaprio,12,nm0000138,https://www.imdb.com/name/nm0000138/
Paul Newman,13,nm0000056,https://www.imdb.com/name/nm0000056/
Elizabeth Taylor,14,nm0000072,https://www.imdb.com/name/nm0000072/
Bette Davis,15,nm0000012,https://www.imdb.com/name/nm0000012/
James Stewart,16,nm0000071,https://www.imdb.com/name/nm0000071/
Gregory Peck,17,nm0000060,https://www.imdb.com/name/nm0000060/
Al Pacino,18,nm0000199,https://www.imdb.com/name/nm0000199/
Tom Hanks,19,nm0000158,https://www.imdb.com/name/nm0000158/
Cate Blanchett,20,nm0000949,https://www.imdb.com/name/nm0000949/
Audrey Hepburn,21,nm0000030,https://www.imdb.com/name/nm0000030/
Kate Winslet,22,nm0000701,https://www.imdb.com/name/nm0000701/
Viola Davis,23,nm0205626,https://www.imdb.com/name/nm0205626/
Cary Grant,24,nm0000026,https://www.imdb.com/name/nm0000026/
Morgan Freeman,25,nm0000151,https://www.imdb.com/name/nm0000151/
Vivien Leigh,26,nm0000046,https://www.imdb.com/name/nm0000046/
Laurence Olivier,27,nm0000059,https://www.imdb.com/name/nm0000059/
Steve McQueen,28,nm0000537,https://www.imdb.com/name/nm0000537/
Diane Keaton,29,nm0000473,https://www.imdb.com/name/nm0000473/
Spencer Tracy,30,nm0000075,https://www.imdb.com/name/nm0000075/
Shah Rukh Khan,31,nm0451321,https://www.imdb.com/name/nm0451321/
Julia Roberts,32,nm0000210,https://www.imdb.com/name/nm0000210/
Jodie Foster,33,nm0000149,https://www.imdb.com/name/nm0000149/
Judy Garland,34,nm0000023,https://www.imdb.com/name/nm0000023/
Henry Fonda,35,nm0000020,https://www.imdb.com/name/nm0000020/
Catherine Deneuve,36,nm0000366,https://www.imdb.com/name/nm0000366/
Grace Kelly,37,nm0000038,https://www.imdb.com/name/nm0000038/
Helen Mirren,38,nm0000545,https://www.imdb.com/name/nm0000545/
Anthony Hopkins,39,nm0000164,https://www.imdb.com/name/nm0000164/
James Cagney,40,nm0000010,https://www.imdb.com/name/nm0000010/
Angela Bassett,41,nm0000291,https://www.imdb.com/name/nm0000291/
Johnny Depp,42,nm0000136,https://www.imdb.com/name/nm0000136/
Greta Garbo,43,nm0001256,https://www.imdb.com/name/nm0001256/
Olivia de Havilland,44,nm0000014,https://www.imdb.com/name/nm0000014/
Charles Chaplin,45,nm0000122,https://www.imdb.com/name/nm0000122/
Setsuko Hara,46,nm0361697,https://www.imdb.com/name/nm0361697/
Julie Andrews,47,nm0000267,https://www.imdb.com/name/nm0000267/
Montgomery Clift,48,nm0001050,https://www.imdb.com/name/nm0001050/
Isabelle Huppert,49,nm0001376,https://www.imdb.com/name/nm0001376/
Rita Hayworth,50,nm0000028,https://www.imdb.com/name/nm0000028/
Halle Berry,51,nm0000932,https://www.imdb.com/name/nm0000932/
James Dean,52,nm0000015,https://www.imdb.com/name/nm0000015/
Kirk Douglas,53,nm0000018,https://www.imdb.com/name/nm0000018/
Natalie Wood,54,nm0000081,https://www.imdb.com/name/nm0000081/
Marcello Mastroianni,55,nm0000052,https://www.imdb.com/name/nm0000052/
Joan Crawford,56,nm0001076,https://www.imdb.com/name/nm0001076/
Harrison Ford,57,nm0000148,https://www.imdb.com/name/nm0000148/
Susan Sarandon,58,nm0000215,https://www.imdb.com/name/nm0000215/
Gene Kelly,59,nm0000037,https://www.imdb.com/name/nm0000037/
Glenn Close,60,nm0000335,https://www.imdb.com/name/nm0000335/
Joan Fontaine,61,nm0000021,https://www.imdb.com/name/nm0000021/
Julianne Moore,62,nm0000194,https://www.imdb.com/name/nm0000194/
Will Smith,63,nm0000226,https://www.imdb.com/name/nm0000226/
Sophia Loren,64,nm0000047,https://www.imdb.com/name/nm0000047/
Marilyn Monroe,65,nm0000054,https://www.imdb.com/name/nm0000054/
Bruce Lee,66,nm0000045,https://www.imdb.com/name/nm0000045/
Regina King,67,nm0005093,https://www.imdb.com/name/nm0005093/
Angelina Jolie,68,nm0001401,https://www.imdb.com/name/nm0001401/
John Wayne,69,nm0000078,https://www.imdb.com/name/nm0000078/
Jane Fonda,70,nm0000404,https://www.imdb.com/name/nm0000404/
Charlton Heston,71,nm0000032,https://www.imdb.com/name/nm0000032/
Gary Cooper,72,nm0000011,https://www.imdb.com/name/nm0000011/
Liv Ullmann,73,nm0880521,https://www.imdb.com/name/nm0880521/
Natalie Portman,74,nm0000204,https://www.imdb.com/name/nm0000204/
Forest Whitaker,75,nm0001845,https://www.imdb.com/name/nm0001845/
Sandra Bullock,76,nm0000113,https://www.imdb.com/name/nm0000113/
Deborah Kerr,77,nm0000039,https://www.imdb.com/name/nm0000039/
Toshirô Mifune,78,nm0001536,https://www.imdb.com/name/nm0001536/
Dustin Hoffman,79,nm0000163,https://www.imdb.com/name/nm0000163/
Emma Thompson,80,nm0000668,https://www.imdb.com/name/nm0000668/
Tom Cruise,81,nm0000129,https://www.imdb.com/name/nm0000129/
Michelle Pfeiffer,82,nm0000201,https://www.imdb.com/name/nm0000201/
Faye Dunaway,83,nm0001159,https://www.imdb.com/name/nm0001159/
Samuel L. Jackson,84,nm0000168,https://www.imdb.com/name/nm0000168/
Peter O&apos;Toole,85,nm0000564,https://www.imdb.com/name/nm0000564/
Heath Ledger,86,nm0005132,https://www.imdb.com/name/nm0005132/
Nicole Kidman,87,nm0000173,https://www.imdb.com/name/nm0000173/
Penélope Cruz,88,nm0004851,https://www.imdb.com/name/nm0004851/
Chadwick Boseman,89,nm1569276,https://www.imdb.com/name/nm1569276/
Antonio Banderas,90,nm0000104,https://www.imdb.com/name/nm0000104/
Sigourney Weaver,91,nm0000244,https://www.imdb.com/name/nm0000244/
Salma Hayek,92,nm0000161,https://www.imdb.com/name/nm0000161/
Don Cheadle,93,nm0000332,https://www.imdb.com/name/nm0000332/
Frances McDormand,94,nm0000531,https://www.imdb.com/name/nm0000531/
Kathy Bates,95,nm0000870,https://www.imdb.com/name/nm0000870/
Omar Sharif,96,nm0001725,https://www.imdb.com/name/nm0001725/
Amy Adams,97,nm0010736,https://www.imdb.com/name/nm0010736/
Joaquin Phoenix,98,nm0001618,https://www.imdb.com/name/nm0001618/
Mohanlal,99,nm0482320,https://www.imdb.com/name/nm0482320/
Brad Pitt,100,nm0000093,https://www.imdb.com/name/nm0000093/
Jeff Bridges,101,nm0000313,https://www.imdb.com/name/nm0000313/
